edicao,co_prova,sg_area,cor,rotulo,tipo_aplicacao,is_regular
2022,1158,MT,Cinza,Cinza (Reaplicação),reaplicacao,false
2022,1183,MT,Azul,Azul (Digital),digital,false
2022,1184,MT,Amarela,Amarela (Digital),digital,false
2022,1185,MT,Rosa,Rosa (Digital),digital,false
2022,1186,MT,Cinza,Cinza (Digital),digital,false
2023,1191,CH,Azul,Azul,regular,true
2023,1192,CH,Amarela,Amarela,regular,true
2023,1193,CH,Branca,Branca,regular,true
2023,1194,CH,Rosa,Rosa,regular,true
2023,1195,CH,Rosa,Rosa - Ampliada,acessibilidade,false
2023,1196,CH,Rosa,Rosa - Superampliada,acessibilidade,false
2023,1197,CH,Laranja,Laranja - Braile,acessibilidade,false
2023,1198,CH,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2023,1199,CH,Verde,Verde - Videoprova - Libras,acessibilidade,false
2023,1271,CH,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1272,CH,Amarela,Amarela (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1273,CH,Branca,Branca (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1274,CH,Rosa,Rosa (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1221,CN,Azul,Azul,regular,true
2023,1222,CN,Amarela,Amarela,regular,true
2023,1223,CN,Rosa,Rosa,regular,true
2023,1224,CN,Cinza,Cinza,regular,true
2023,1225,CN,Rosa,Rosa - Ampliada,acessibilidade,false
2023,1226,CN,Rosa,Rosa - Superampliada,acessibilidade,false
2023,1227,CN,Laranja,Laranja - Braile,acessibilidade,false
2023,1228,CN,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2023,1229,CN,Verde,Verde - Videoprova - Libras,acessibilidade,false
2023,1301,CN,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1302,CN,Amarela,Amarela (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1303,CN,Cinza,Cinza (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1304,CN,Rosa,Rosa (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1201,LC,Azul,Azul,regular,true
2023,1202,LC,Amarela,Amarela,regular,true
2023,1203,LC,Rosa,Rosa,regular,true
2023,1204,LC,Branca,Branca,regular,true
2023,1205,LC,Rosa,Rosa - Ampliada,acessibilidade,false
2023,1206,LC,Rosa,Rosa - Superampliada,acessibilidade,false
2023,1207,LC,Laranja,Laranja - Braile,acessibilidade,false
2023,1208,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2023,1209,LC,Verde,Verde - Videoprova - Libras,acessibilidade,false
2023,1281,LC,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1282,LC,Amarela,Amarela (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1283,LC,Rosa,Rosa (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1284,LC,Branca,Branca (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1211,MT,Azul,Azul,regular,true
2023,1212,MT,Amarela,Amarela,regular,true
2023,1213,MT,Rosa,Rosa,regular,true
2023,1214,MT,Cinza,Cinza,regular,true
2023,1215,MT,Rosa,Rosa - Ampliada,acessibilidade,false
2023,1216,MT,Rosa,Rosa - Superampliada,acessibilidade,false
2023,1217,MT,Laranja,Laranja - Braile,acessibilidade,false
2023,1218,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2023,1219,MT,Verde,Verde - Videoprova - Libras,acessibilidade,false
2023,1291,MT,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1292,MT,Amarela,Amarela (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1293,MT,Rosa,Rosa (ReaplicaÃ§Ã£o),reaplicacao,false
2023,1294,MT,Cinza,Cinza (ReaplicaÃ§Ã£o),reaplicacao,false
2024,1343,CH,Azul,Azul (Reaplicação),reaplicacao,false
2024,1344,CH,Amarela,Amarela (Reaplicação),reaplicacao,false
2024,1345,CH,Branca,Branca (Reaplicação),reaplicacao,false
2024,1346,CH,Verde,Verde (Reaplicação),reaplicacao,false
2024,1347,CH,Verde,Verde - Ampliada (Reaplicação),reaplicacao,false
2024,1348,CH,Verde,Verde - Superampliada (Reaplicação),reaplicacao,false
2024,1350,CH,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2024,1383,CH,Azul,Azul,regular,true
2024,1384,CH,Amarela,Amarela,regular,true
2024,1385,CH,Branca,Branca,regular,true
2024,1386,CH,Verde,Verde,regular,true
2024,1387,CH,Verde,Verde - Ampliada,acessibilidade,false
2024,1388,CH,Verde,Verde - Superampliada,acessibilidade,false
2024,1390,CH,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2024,1391,CH,Roxa,Roxa - Videoprova - Libras,acessibilidade,false
2024,1392,CH,Roxa,Roxa - Videoprova - Libras - Ampliada,acessibilidade,false
2024,1393,CH,Roxa,Roxa - Videoprova - Libras - Superampliada,acessibilidade,false
2024,1373,CN,Azul,Azul (Reaplicação),reaplicacao,false
2024,1374,CN,Amarela,Amarela (Reaplicação),reaplicacao,false
2024,1375,CN,Cinza,Cinza (Reaplicação),reaplicacao,false
2024,1376,CN,Verde,Verde (Reaplicação),reaplicacao,false
2024,1377,CN,Verde,Verde - Ampliada (Reaplicação),reaplicacao,false
2024,1378,CN,Verde,Verde - Superampliada (Reaplicação),reaplicacao,false
2024,1380,CN,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2024,1419,CN,Azul,Azul,regular,true
2024,1420,CN,Amarela,Amarela,regular,true
2024,1421,CN,Verde,Verde,regular,true
2024,1422,CN,Cinza,Cinza,regular,true
2024,1423,CN,Verde,Verde - Ampliada,acessibilidade,false
2024,1424,CN,Verde,Verde - Superampliada,acessibilidade,false
2024,1426,CN,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2024,1427,CN,Roxa,Roxa - Videoprova - Libras,acessibilidade,false
2024,1428,CN,Roxa,Roxa - Videoprova - Libras - Ampliada,acessibilidade,false
2024,1353,LC,Azul,Azul (Reaplicação),reaplicacao,false
2024,1354,LC,Amarela,Amarela (Reaplicação),reaplicacao,false
2024,1355,LC,Verde,Verde (Reaplicação),reaplicacao,false
2024,1356,LC,Branca,Branca (Reaplicação),reaplicacao,false
2024,1357,LC,Verde,Verde - Ampliada (Reaplicação),reaplicacao,false
2024,1358,LC,Verde,Verde - Superampliada (Reaplicação),reaplicacao,false
2024,1360,LC,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2024,1395,LC,Azul,Azul,regular,true
2024,1396,LC,Amarela,Amarela,regular,true
2024,1397,LC,Verde,Verde,regular,true
2024,1398,LC,Branca,Branca,regular,true
2024,1399,LC,Verde,Verde - Ampliada,acessibilidade,false
2024,1400,LC,Verde,Verde - Superampliada,acessibilidade,false
2024,1402,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2024,1403,LC,Roxa,Roxa - Videoprova - Libras,acessibilidade,false
2024,1404,LC,Roxa,Roxa - Videoprova - Libras - Ampliada,acessibilidade,false
2024,1405,LC,Roxa,Roxa - Videoprova - Libras - Superampliada,acessibilidade,false
2024,1363,MT,Azul,Azul (Reaplicação),reaplicacao,false
2024,1364,MT,Amarela,Amarela (Reaplicação),reaplicacao,false
2024,1365,MT,Verde,Verde (Reaplicação),reaplicacao,false
2024,1366,MT,Cinza,Cinza (Reaplicação),reaplicacao,false
2024,1367,MT,Verde,Verde - Ampliada (Reaplicação),reaplicacao,false
2024,1368,MT,Verde,Verde - Superampliada (Reaplicação),reaplicacao,false
2024,1370,MT,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2024,1407,MT,Azul,Azul,regular,true
2024,1408,MT,Amarela,Amarela,regular,true
2024,1409,MT,Verde,Verde,regular,true
2024,1410,MT,Cinza,Cinza,regular,true
2024,1411,MT,Verde,Verde - Ampliada,acessibilidade,false
2024,1412,MT,Verde,Verde - Superampliada,acessibilidade,false
2024,1414,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2024,1415,MT,Roxa,Roxa - Videoprova - Libras,acessibilidade,false
2024,1416,MT,Roxa,Roxa - Videoprova - Libras - Ampliada,acessibilidade,false
2025,1447,CH,Azul,Azul,regular,true
2025,1448,CH,Amarela,Amarela,regular,true
2025,1449,CH,Branca,Branca,regular,true
2025,1450,CH,Verde,Verde,regular,true
2025,1451,CH,Laranja,Laranja - Ampliada,acessibilidade,false
2025,1452,CH,Laranja,Laranja - Superampliada,acessibilidade,false
2025,1454,CH,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2025,1455,CH,Roxo,Roxo - Videoprova - Libras,acessibilidade,false
2025,1495,CH,Laranja,Laranja - Atendimento Especializado,acessibilidade,false
2025,1539,CH,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2025,1541,CH,Branca,Branca (ReaplicaÃ§Ã£o),reaplicacao,false
2025,1542,CH,Verde,Verde (ReaplicaÃ§Ã£o),reaplicacao,false
2025,1583,CH,Azul,Azul - BAM,bam,false
2025,1584,CH,Amarela,Amarela - BAM,bam,false
2025,1585,CH,Branca,Branca - BAM,bam,false
2025,1586,CH,Verde,Verde - BAM,bam,false
2025,1587,CH,Laranja,Laranja - Ampliada - BAM,bam,false
2025,1631,CH,Laranja,Laranja - Atendimento Especializado - BAM,bam,false
2025,1483,CN,Azul,Azul,regular,true
2025,1484,CN,Amarela,Amarela,regular,true
2025,1485,CN,Verde,Verde,regular,true
2025,1486,CN,Cinza,Cinza,regular,true
2025,1487,CN,Laranja,Laranja - Ampliada,acessibilidade,false
2025,1488,CN,Laranja,Laranja - Superampliada,acessibilidade,false
2025,1490,CN,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2025,1491,CN,Roxo,Roxo - Videoprova - Libras,acessibilidade,false
2025,1498,CN,Laranja,Laranja - Atendimento Especializado,acessibilidade,false
2025,1569,CN,Azul,Azul (ReaplicaÃ§Ã£o),reaplicacao,false
2025,1570,CN,Amarela,Amarela (ReaplicaÃ§Ã£o),reaplicacao,false
2025,1571,CN,Cinza,Cinza (ReaplicaÃ§Ã£o),reaplicacao,false
